Title,Title_URL,Image,textweb__textsc1cyx77801
"Redmi A1 32 GB, 2 GB RAM, Black Mobile Phone",https://www.reliancedigital.in/redmi-a1-32-gb-2-gb-ram-black-mobile-phone/p/493178806,https://www.reliancedigital.in/medias/Xiaomi-A1-Smart-Phone-493178806-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w0MDM5NXxpbWFnZS9qcGVnfGltYWdlcy9oYzUvaDc5Lzk5MTE0MzM2MjU2MzAuanBnfGYyNWVhZjM4N2NiMDA2ZGY0NWUzNGEzOTdhZDUxOTljZjA0M2VkZTNmMWI1NmUwNjE5OGU3ZGI5ZDc0MjA0OTQ,"5,949.00"
"Redmi A1 Plus 32 GB, 2 GB RAM, Light Green Mobile Phone",https://www.reliancedigital.in/redmi-a1-plus-32-gb-2-gb-ram-light-green-mobile-phone/p/493178815,https://www.reliancedigital.in/medias/Xiaomi-A1-Smart-Phone-493178815-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w0MDIxNXxpbWFnZS9qcGVnfGltYWdlcy9oZWMvaDU1Lzk5MTE0NTY5NTY0NDYuanBnfDkzN2ZkMTViMWY4ZDk0YTAzZmQyN2QyZTk1OGY0ZmQyYWFlYWIyNGJkMTdhYjk5ZDY5YjE3MDZiNjFhZGViMTI,"6,499.00"
"Tecno POVA3 64 GB, 4 GB RAM, Eco Black, Mobile Phone with 7000 mAh Mega Battery",https://www.reliancedigital.in/tecno-pova3-64-gb-4-gb-ram-eco-black-mobile-phone-with-7000-mah-mega-battery/p/492850709,https://www.reliancedigital.in/medias/Tecno-TECNO-POVA3-Smart-Phones-492850709-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w2MDIzNXxpbWFnZS9qcGVnfGltYWdlcy9oYmEvaGRhLzk4NDg2NTk4Njk3MjYuanBnfDMzODFjYzQzNDczYjAxOGViOTUxOWYxNmMwYmM0Y2E1YjAyYTAwZTBhODg3MWE5YWVkZGU3MTRiZTkyMWQ2MTg,"8,999.00"
"Redmi A1 Plus 32 GB, 3 GB RAM, Black Mobile Phone",https://www.reliancedigital.in/redmi-a1-plus-32-gb-3-gb-ram-black-mobile-phone/p/493178816,https://www.reliancedigital.in/medias/Xiaomi-A1-Smart-Phone-493178816-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w0MDk1NXxpbWFnZS9qcGVnfGltYWdlcy9oMjYvaDEzLzk5MTE0NjY0NTkxNjYuanBnfDYzNzA4YWNjMDU2YTdiMTk0MjE1NGNhMDEwOThhOGE1Yzc1MWFjYzczNmQ3Yzg0Zjc2ZGM1Mjc2ZTA2ZTQzZTU,"7,499.00"
"Itel A27 32 GB, 2 GB RAM, Deep Grey, Mobile Phone",https://www.reliancedigital.in/itel-a27-32-gb-2-gb-ram-deep-grey-mobile-phone/p/493666161,https://www.reliancedigital.in/medias/Itel-A27-Mob-493666161-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wzMDQ3NXxpbWFnZS9qcGVnfGltYWdlcy9oZTYvaGVkLzk5ODA5MDc3NDk0MDYuanBnfGJjMWY1Zjk4ZWMxNzAxMzcwYjhjZjc2YmNiMjM4MDA0NTI0OTc2MWFlYzViNzM4ODE4MmRiM2U5MjdiOTRkNDU,"4,999.00"
"Redmi A1 32 GB, 2 GB RAM, Light Green Mobile Phone",https://www.reliancedigital.in/redmi-a1-32-gb-2-gb-ram-light-green-mobile-phone/p/493178808,https://www.reliancedigital.in/medias/Xiaomi-A1-Smart-Phone-493178808-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w0MDAwMnxpbWFnZS9qcGVnfGltYWdlcy9oOTIvaGYwLzk5MTE0NDY0NzA2ODYuanBnfDU1ZWRlMmY1MzhiNDllMGNjNDMyNzYyNjI3N2U3ZDc3MWY4NTlhMzNiYTBlNDZkNzFhOTdmZDA3YjFmNWYyYWE,"5,949.00"
"Motorola Moto G42 64GB, 4GB RAM, Atlantic Green, Mobile Phone",https://www.reliancedigital.in/motorola-moto-g42-64gb-4gb-ram-atlantic-green-mobile-phone/p/492850894,https://www.reliancedigital.in/medias/Motorola-G42-Mobile-Phone-492850894-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyMDgyNnxpbWFnZS9qcGVnfGltYWdlcy9oZDUvaDM2Lzk4NTk0ODQ3MTI5OTAuanBnfDExNGFmNmRiMWVjYjQwNTU1MmQ1MDc3Yzg4Y2MxNTAzM2QzOGFkODc3YTJhZjYyZDc2OWQ5OTdkYTkyMWUzZmI,"9,999.00"
"Redmi 12C 64 GB, 4 GB RAM, Lavender Purple, Mobile Phone",https://www.reliancedigital.in/redmi-12c-64-gb-4-gb-ram-lavender-purple-mobile-phone/p/493666121,https://www.reliancedigital.in/medias/Xiaomi-12C-Mob-493666121-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wyNTg5OHxpbWFnZS9qcGVnfGltYWdlcy9oYzAvaDZhLzk5Nzg2NzYyMTU4MzguanBnfDVhYTdkMDgxZmI2MTQwNjc2ZjEyM2RlYzZlN2RlNTJmYWU0MmY5ZjZiN2ExZjI1YzcxMTgyM2U5OGZkNDA3NDM,"8,999.00"
"Redmi A1 Plus 32 GB, 3 GB RAM, Light Green Mobile Phone",https://www.reliancedigital.in/redmi-a1-plus-32-gb-3-gb-ram-light-green-mobile-phone/p/493178818,https://www.reliancedigital.in/medias/Xiaomi-A1-Smart-Phone-493178818-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3w0MDIzNXxpbWFnZS9qcGVnfGltYWdlcy9oODEvaGNlLzk5MTE0NjYxMzE0ODYuanBnfDg5ZDI3MTM2MzkwMDkyMjQzYTZiNzZmZDM0ZWMzYzQyNWNjYjRhYWRhYzhjNTc4ODJjYWI5ZTRhNDU3MmMxYTk,"7,499.00"
"Redmi 9A Sport 32 GB 3 GB RAM, Coral Green, Mobile Phone",https://www.reliancedigital.in/redmi-9a-sport-32-gb-3-gb-ram-coral-green-mobile-phone/p/491998274,https://www.reliancedigital.in/medias/Redmi-9A-Sport-Smartphone-491998274-i-1-1200Wx1200H-300Wx300H?context=bWFzdGVyfGltYWdlc3wxMjQ3M3xpbWFnZS9qcGVnfGltYWdlcy9oNDMvaGM3Lzk2NTQxODA0NDYyMzguanBnfDk2Y2VkOGYwYjIwMDE5OTkzMzYwNDA0MWE3Yzk2Y2IzMDgyOTVhYzdiZmExMDkwYjU1MGNiZDhlYjA1ZTRmZmE,"6,999.00"
"Itel A27 32 GB, 2 GB RAM, Silver Purple, Mobile Phone",https://www.reliancedigital.in/itel-a27-32-gb-2-gb-ram-silver-purple-mobile-phone/p/493666162,https://www.reliancedigital.in/build/client/images/loaders/mdefault.png,"4,999.00"
