Title,textweb__textsc1cyx77801
"Itel A27 32 GB, 2 GB RAM, Deep Grey, Mobile Phone","4,999.00"
"Itel A27 32 GB, 2 GB RAM, Silver Purple, Mobile Phone","4,999.00"
"itel A23 Pro 8 GB, 1 GB RAM, Lake Blue, Mobile Phone","4,040.00"
"Itel A48 32 GB, 2 GB RAM, Gradation Purple, Mobile Phone (JioExclusive offer available)","6,599.00"
"itel A23 Pro 8 GB, 1 GB RAM, Sapphire Blue, Mobile Phone","4,040.00"
"Itel Vision 2S 32 GB, 2 GB RAM, Gradation Blue, Mobile Phone","7,349.00"
"itel Vision 3 64 GB, 3 GB RAM, Deep Ocean Black, Mobile Phone","7,299.00"
"Itel Vision 2S 32 GB, 2 GB RAM, Deep Blue, Mobile Phone","7,349.00"
"Itel Vision 2S 32 GB, 2 GB RAM, Gradation Purple, Mobile Phone","7,349.00"
"Itel A48 32 GB, 2 GB RAM, Gradation Green, Mobile Phone (JioExclusive offer available)","6,599.00"
"itel Vision 3 64 GB, 3 GB RAM, Jewel Blue, Mobile Phone","7,299.00"
"itel Vision 3 64 GB, 3 GB RAM, Multi Green, Mobile Phone","7,299.00"
