Title,textweb__textsc1cyx77801
"Nokia C20 Plus 32 GB, 3 GB RAM, Ocean Blue, Mobile Phone (JioExclusive offer available)","8,499.00"
"Nokia C12 Pro 64 GB 2 GB RAM, Charcoal Mobile Phone","6,999.00"
"Nokia C12 Pro 64 GB 2 GB RAM, Light Mint Mobile Phone","6,999.00"
"Nokia C12 Pro 64 GB 3 GB RAM, Dark Cyan Mobile Phone","7,499.00"
"Nokia C12 Pro 64 GB 2 GB RAM, Dark Cyan Mobile Phone","6,999.00"
"Nokia C12 Pro 64 GB 3 GB RAM, Light Mint Mobile Phone","7,499.00"
"Nokia C30 32 GB, 3 GB RAM, Green Mobile Phone (JioExclusive offer available)","9,999.00"
"Nokia C30 32 GB, 3 GB RAM, White Mobile Phone (JioExclusive offer available)","9,999.00"
"Nokia C12 Pro 64 GB 3 GB RAM, Charcoal Mobile Phone","7,499.00"
"Nokia C20 Plus 32 GB, 2 GB RAM, Ocean Blue, Mobile Phone (JioExclusive offer available)","7,499.00"
"Nokia C20 Plus 32 GB, 3 GB RAM, Graphite Black, Mobile Phone (JioExclusive offer available)","8,499.00"
"Nokia C01 Plus 16 GB, 2 GB RAM, Grey, Mobile Phone (JioExclusive offer available)","5,499.00"
"Nokia C01 Plus 32 GB, 2 GB RAM, Blue, Mobile Phone","5,999.00"
