Title,textweb__textsc1cyx77801
"Samsung Galaxy M04 64 GB, 4 GB RAM, Sea Glass Green Mobile Phone","9,499.00"
"Samsung Galaxy M04 64 GB, 4 GB RAM, Shadow Blue, Mobile Phone","9,499.00"
"Samsung Galaxy A04e 64 GB, 3 GB RAM, Light Blue, Mobile Phone","9,999.00"
"Samsung F Series F04 64 GB, 4 GB, Opal Green, Mobile Phone","9,499.00"
"Samsung F Series F04 64 GB, 4 GB, Jade Purple, Mobile Phone","9,499.00"
"Samsung Galaxy A04e 64 GB, 3 GB RAM, Copper, Mobile Phone","9,999.00"
"Samsung Galaxy M02s 32 GB, 3 GB RAM, Black, Mobile Phone","9,499.00"
"Samsung Galaxy A03 32 GB, 3 GB RAM, Red, Mobile Phone","8,499.00"
"Samsung Galaxy A03 Core 32 GB, 2 GB RAM, Blue, Mobile Phone","6,999.00"
"Samsung Galaxy A03 Core 32 GB, 2 GB RAM, Black, Mobile Phone","6,999.00"
"Samsung Galaxy M02s 32 GB, 3 GB RAM, Red, Mobile Phone","9,499.00"
"Samsung Galaxy A03 32 GB, 3 GB RAM, Black, Mobile Phone","8,499.00"
"Samsung Galaxy A03 32 GB, 3 GB RAM, Blue, Mobile Phone","8,499.00"
"Samsung Galaxy M01 Core 16 GB, 1 GB, Red, Mobile Phone","5,199.00"
