Title,textweb__textsc1cyx77801
"Redmi A1 32 GB, 2 GB RAM, Black Mobile Phone","5,949.00"
"Redmi A1 Plus 32 GB, 3 GB RAM, Black Mobile Phone","7,499.00"
"Redmi A1 Plus 32 GB, 2 GB RAM, Light Green Mobile Phone","6,499.00"
"Redmi A1 32 GB, 2 GB RAM, Light Green Mobile Phone","5,949.00"
"Redmi A1 Plus 32 GB, 3 GB RAM, Light Green Mobile Phone","7,499.00"
"Redmi 12C 64 GB, 4 GB RAM, Lavender Purple, Mobile Phone","8,999.00"
"Redmi 9A Sport 32 GB 3 GB RAM, Coral Green, Mobile Phone","6,999.00"
"Redmi 12C 64 GB, 4 GB RAM, Mint Green, Mobile Phone","8,999.00"
"Redmi A1 32 GB, 2 GB RAM, Light Blue Mobile Phone","5,949.00"
"Redmi A1 Plus 32 GB, 3 GB RAM, Light Blue Mobile Phone","7,499.00"
"Redmi A1 Plus 32 GB, 2 GB RAM, Light Blue Mobile Phone","6,499.00"
"Redmi 12C 64 GB, 4 GB RAM, Matte Black, Mobile Phone","8,999.00"
"Redmi A1 Plus 32 GB, 2 GB RAM, Black Mobile Phone","6,499.00"
"Redmi 9A 32 GB, 3 GB RAM, Midnight Black, Mobile Phone","7,000.00"
"Redmi 10 64 GB, 4 GB RAM, Midnight Black, Mobile Phone","9,999.00"
"Redmi 9A Sport 32 GB, 2 GB RAM, Metallic Blue, Mobile Phone (Jio Exclusive)","7,499.00"
"Redmi 9A Sport 32 GB, 2 GB RAM, Coral Green, Mobile Phone (Jio Exclusive)","7,499.00"
"Redmi 10 64 GB, 4 GB RAM, Pacific Blue, Mobile Phone","9,999.00"
"Redmi 9A 32 GB, 3 GB RAM, Sea Blue, Smartphone","7,000.00"
"Redmi 9A Sport 32 GB, 2 GB RAM, Carbon Black, Mobile Phone (Jio Exclusive)","7,499.00"
"Redmi 10A 32 GB, 3 GB RAM, Charcoal Black, Mobile Phone","7,499.00"
"Redmi 10A 64 GB, 4 GB RAM, Slate Grey,Mobile Phone","8,599.00"
"Redmi 12C 64 GB, 4 GB RAM, Royal Blue, Mobile Phone","8,999.00"
"Redmi 10A 32 GB, 3 GB RAM, Slate Grey, Mobile Phone","7,499.00"
"Redmi 10A 32 GB, 3 GB RAM, Sea Blue, Mobile Phone","7,499.00"
"Redmi 10 64 GB, 4 GB RAM, Caribbean Green, Mobile Phone","9,999.00"
"Redmi 10A 64 GB, 4 GB RAM, Charcoal Black, Mobile Phone","8,599.00"
"Redmi 10A 64 GB, 4 GB RAM, Sea Blue, Mobile Phone","8,599.00"
"Redmi 9A Sport 32 GB 3 GB RAM, Metallic Blue, Mobile Phone","7,800.00"
"Redmi 9A Sport 32 GB 3 GB RAM, Carbon Black, Mobile Phone","7,800.00"
"Redmi 10A 32 GB, 3 GB RAM, Sea Blue, Mobile Phone","7,499.00"
"Redmi 10A 64 GB, 4 GB RAM, Charcoal Black, Mobile Phone","8,599.00"
"Redmi 10 64 GB, 4 GB RAM, Caribbean Green, Mobile Phone","9,999.00"
"Redmi 10A 64 GB, 4 GB RAM, Sea Blue, Mobile Phone","8,599.00"
"Redmi 9A Sport 32 GB 3 GB RAM, Metallic Blue, Mobile Phone","7,800.00"
"Redmi 9A Sport 32 GB 3 GB RAM, Carbon Black, Mobile Phone","7,800.00"
