,names,stars,memory,camara_info,display,battery,processor,Price
6,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
38,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
66,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
94,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
122,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
128,"MOTOROLA g22 (Cosmic Black, 64 GB)",3.7,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) HD+ Display,5000 mAh Lithium Ion Battery,Mediatek Helio G37 Processor,9499.0
150,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
178,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
206,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
234,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
239,Micromax J22,3.7,32 MB RAM | 32 MB ROM,1000 mAh Battery,6.1 cm (2.4 inch) Display,1 Year Manufacturer warranty,,1238.0
262,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
288,"Infinix Smart 6 (Starry Purple, 64 GB)",3.7,2 GB RAM | 64 GB ROM | Expandable Upto 512 GB,8 MP + Depth Lens | 5MP Front Camera,16.76 cm (6.6 inch) HD+ Display,5000 mAh Li-ion Polymer Battery,Mediatek Helio A22 Processor,6999.0
318,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
346,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
374,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
402,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
430,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
458,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
479,Micromax J22,3.7,32 MB RAM | 32 MB ROM,1000 mAh Battery,6.1 cm (2.4 inch) Display,1 Year Manufacturer warranty,,1245.0
486,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
513,Kechaoda K33,3.7,32 MB RAM | 32 MB ROM,0.3MP Rear Camera,3.56 cm (1.4 inch) Display,800 mAh Battery,1 Year Warranty,1105.0
542,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
560,Energizer M1,3.7,32 MB RAM | 32 MB ROM,0.08MP Rear Camera,4.5 cm (1.77 inch) Display,600 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase,749.0
570,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
598,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
626,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
654,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
682,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
703,itel MagicX Play,3.7,48 MB RAM | 128 MB ROM,0.3MP Rear Camera,4.57 cm (1.8 inch) Display,1900 mAh Battery,12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),2149.0
710,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
738,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
766,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
794,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
822,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
850,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
878,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
906,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
934,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
962,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
990,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
1018,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
1046,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
1074,GREENBERRI VIRAT,3.7,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,4.57 cm (1.8 inch) Display,1000 mAh Battery,1 Year For Mobile,849.0
