Mobile_Phone_Title,Mobile_Phone_Price
"Redmi A1 32 GB, 2 GB RAM, Black Mobile Phone","5,949.00"
"Redmi A1 Plus 32 GB, 2 GB RAM, Light Green Mobile Phone","6,499.00"
"Tecno POVA3 64 GB, 4 GB RAM, Eco Black, Mobile Phone with 7000 mAh Mega Battery","8,999.00"
"Redmi A1 Plus 32 GB, 3 GB RAM, Black Mobile Phone","7,499.00"
"Itel A27 32 GB, 2 GB RAM, Deep Grey, Mobile Phone","4,999.00"
"Redmi A1 32 GB, 2 GB RAM, Light Green Mobile Phone","5,949.00"
"Motorola Moto G42 64GB, 4GB RAM, Atlantic Green, Mobile Phone","9,999.00"
"Redmi 12C 64 GB, 4 GB RAM, Lavender Purple, Mobile Phone","8,999.00"
"Redmi A1 Plus 32 GB, 3 GB RAM, Light Green Mobile Phone","7,499.00"
"Redmi 9A Sport 32 GB 3 GB RAM, Coral Green, Mobile Phone","6,999.00"
"Tecno POVA3 64 GB, 4 GB RAM, Tech Silver, Mobile Phone with 7000 mAh Mega Battery","8,999.00"
"Realme Narzo 50i Prime 32 GB, 3 GB RAM, Dark Blue, Mobile Phone","7,999.00"
"Redmi A1 32 GB, 2 GB RAM, Light Blue Mobile Phone","5,949.00"
"Itel A27 32 GB, 2 GB RAM, Silver Purple, Mobile Phone","4,999.00"
"Redmi 12C 64 GB, 4 GB RAM, Mint Green, Mobile Phone","8,999.00"
"itel Vision 3 64 GB, 3 GB RAM, Deep Ocean Black, Mobile Phone","7,299.00"
"Samsung Galaxy M04 64 GB, 4 GB RAM, Sea Glass Green Mobile Phone","9,499.00"
"Realme Narzo 50i Prime 64 GB, 4 GB RAM, Dark Blue, Mobile Phone","8,999.00"
"Redmi A1 Plus 32 GB, 3 GB RAM, Light Blue Mobile Phone","7,499.00"
"Samsung Galaxy M04 64 GB, 4 GB RAM, Shadow Blue, Mobile Phone","9,499.00"
"Samsung F Series F04 64 GB, 4 GB, Opal Green, Mobile Phone","9,499.00"
"Realme C33 32 GB, 3 GB RAM, Sandy Gold, Mobile Phone","8,999.00"
"Redmi A1 Plus 32 GB, 2 GB RAM, Light Blue Mobile Phone","6,499.00"
"Realme C33 32 GB, 3 GB RAM, Night Sea, Mobile Phone","8,999.00"
"Redmi A1 Plus 32 GB, 2 GB RAM, Black Mobile Phone","6,499.00"
"Samsung Galaxy A04e 64 GB, 3 GB RAM, Light Blue, Mobile Phone","9,999.00"
"Realme Narzo 50i Prime 32 GB, 3 GB RAM, Mint Green, Mobile Phone","7,999.00"
"itel A23 Pro 8 GB, 1 GB RAM, Sapphire Blue, Mobile Phone","4,040.00"
"Realme C30 32 GB, 3 GB RAM, Denim Black, Mobile Phone","7,499.00"
"Realme C33 32 GB, 3 GB RAM, Aqua Blue, Mobile Phone","8,999.00"
"itel A23 Pro 8 GB, 1 GB RAM, Lake Blue, Mobile Phone","4,040.00"
"Nokia C20 Plus 32 GB, 3 GB RAM, Ocean Blue, Mobile Phone (JioExclusive offer available)","8,499.00"
"Tecno POVA3 64 GB, 4 GB RAM, Electric Blue, Mobile Phone with 7000 mAh Mega Battery","9,799.00"
"Oppo A17K 64 GB, 3 GB RAM, Navy Blue, Mobile Phone","9,499.00"
"Realme C30s 32 GB, 2 GB RAM, Stripe Black, Mobile Phone","7,499.00"
"Redmi 12C 64 GB, 4 GB RAM, Matte Black, Mobile Phone","8,999.00"
"Vivo Y1s 32 GB, 2 GB RAM, Olive Black, Mobile Phone (JioExclusive offer available)","8,490.00"
"Samsung F Series F04 64 GB, 4 GB, Jade Purple, Mobile Phone","9,499.00"
"Redmi 9A 32 GB, 3 GB RAM, Midnight Black, Mobile Phone","7,000.00"
"TCL L7 32 GB, 2 GB RAM, Black, Smartphone","4,999.00"
"realme C21Y 32 GB, 3 GB RAM, Cross Blue Mobile Phone","9,499.00"
