,names,stars,price_details,memory,camara_info,display,battery,processor
207,KARBONN KX3,3.9,"₹985
₹1,29023% off",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,800 mAh Battery,1 Year Brand Warranty
241,Micromax X412,3.9,₹975,32 MB RAM | 32 MB ROM,1MP Rear Camera,4.5 cm (1.77 inch) Display,800 mAh Battery,12 Month
399,"REDMI A1+ (Light Green, 32 GB)",3.9,"₹8,499
₹10,99922% off",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,8MP Rear Camera | 5MP Front Camera,16.56 cm (6.52 inch) HD+ Display,5000 mAh Lithium Polymer Battery,Mediatek Helio A22 Processor
413,Micromax X412,3.9,"₹959
₹1,49936% off",32 MB RAM | 32 MB ROM,800 mAh Battery,4.5 cm (1.77 inch) Display,12 Month,
432,Micromax X818,3.9,"₹1,510
₹2,19931% off",32 MB RAM | 32 MB ROM,0.3MP Rear Camera,7.11 cm (2.8 inch) Display,1450 mAh Battery,One Year manufacturer Warranty
519,"OPPO F21s Pro 5G (Starlight Black, 128 GB)",3.9,"₹25,980",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,64MP + 2MP + 2MP | 16MP + 2MP Dual Front Camera,16.33 cm (6.43 inch) Full HD+ E3 Super AMOLED Display,4500 mAh Battery,Qualcomm SM6225 Snapdragon 680 4G (6 nm) Processor
533,Micromax X708,3.9,"₹1,349
₹1,79925% off",32 MB RAM | 32 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,1450 mAh Battery,One Year manufacturer Warranty
608,KARBONN K9 Yuva,3.9,"₹1,295",64 MB RAM | 32 KB ROM,2MP Rear Camera,4.57 cm (1.8 inch) QVGA Display,2502 mAh Battery,1 Year Manufacturer Warranty
627,KARBONN KX3,3.9,"₹985
₹9981% off",32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,0.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,800 mAh Battery,1 Year Brand Warranty
645,Micromax X415,3.9,"₹1,040
₹1,59934% off",56 MB RAM | 36 MB ROM,0.03MP Rear Camera,4.5 cm (1.77 inch) Display,1000 mAh Battery,1 Year Brand Warranty
689,Nokia 125 DS 2020,3.9,"₹2,345
₹2,5999% off",4 MB RAM | 4 MB ROM,1020 mAh Lithium-ion Battery,6.1 cm (2.4 inch) Display,MediaTek Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase
735,MU M5000,3.9,"₹1,179",32 MB RAM | 32 MB ROM,1.3MP Rear Camera,7.11 cm (2.8 inch) Display,2500 mAh Battery,1 Year
833,Micromax X778,3.9,"₹1,379
₹1,99931% off",32 MB RAM | 32 MB ROM,0.3MP Rear Camera,6.1 cm (2.4 inch) Display,2700 mAh Battery,One Year manufacturer Warranty
851,"Tecno Spark 8P (Turquoise Cyan, 64 GB)",3.9,"₹8,999
₹13,99935% off",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,50MP + 2MP | 8MP Front Camera,16.76 cm (6.6 inch) Full HD+ Display,5000 mAh Battery,MediaTek Helio G85 Processor
884,Nokia 2660 TA-1480 DS,3.9,"₹4,699
₹5,89920% off",0.046875 GB RAM | 0.125 GB ROM,0.3MP Rear Camera,7.11 cm (2.8 Inch) QVGA Display,1450 mAh Lithium Ion Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including battery from the date of purchase
889,"SAMSUNG Galaxy A53 (Awesome Blue, 256 GB)",3.9,"₹34,999
₹42,99918% off",8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,64MP + 12MP + 5MP + 5MP | 32MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,5000 mAh Lithium Ion Battery,Exynos Octa Core Processor Processor
901,Kechaoda K66 The Music House 4,3.9,"₹1,220
₹1,99938% off",32 MB RAM | 64 MB ROM | Expandable Upto 32 GB,1.3MP Rear Camera,4.57 cm (1.8 inch) Display,400 mAh Battery,1 Year Brand Service Center Warranty
903,Kechaoda K66 The Music House 4,3.9,"₹1,200
₹1,99939% off",32 MB RAM | 64 MB ROM,1.3MP Rear Camera,4.57 cm (1.8 inch) Quarter QVGA Display,400 mAh Battery,1 Year Brand Service Center Warranty
963,MU M5000,3.9,"₹1,299",32 MB RAM | 32 MB ROM,1.3MP Rear Camera,7.11 cm (2.8 inch) Display,2500 mAh Battery,1 Year
966,Micromax X512,3.9,"₹1,150
₹1,39917% off",56 MB RAM | 24 MB ROM,0.3MP Rear Camera,4.5 cm (1.77 inch) Display,1750 mAh Battery,1 Year Warranty
984,Nokia 3310 DS 2020,3.9,"₹3,799
₹4,39913% off",16 MB ROM | Expandable Upto 32 GB,2MP Rear Camera,6.1 cm (2.4 inch) QVGA Display,1200 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
1023,Micromax X415,3.9,"₹920
₹1,36232% off",32 MB RAM | 32 MB ROM,0.03MP Rear Camera,4.5 cm (1.77 inch) Display,1000 mAh Battery,1 Year Manufacturer Warranty
